slug,status
1-drink-walnut,open
3-blossoms-cafe-westminster,open
4-seasons-tea-westminster,closed
5s-teas-riverside,open
7-leaves-cafe-chino,open
7-leaves-cafe-costa-mesa,open
7-leaves-cafe-cypress,open
7-leaves-cafe-fountain-valley,open
7-leaves-cafe-garden-grove,open
7-leaves-cafe-huntington-beach,open
7-leaves-cafe-irvine,open
7-leaves-tustin,open
85-c-bakery-san-diego,closed
85c-bakery-cafe-diamond-jamboree-irvine,open
85c-bakery-cafe-irvine,open
a-plus-tea-house-san-gabriel,closed
acai-joint-arcadia,seed
acai-republic-fullerton,seed
alfred-tea-hollywood,open
almond-haus-garden-grove,closed
au79-tea-express-pasadena,closed
au79-tea-house-arcadia,open
bambu-arcadia,open
bambu-cerritos,open
bambu-irvine,closed
bambu-rowland-heights,closed
bambu-san-gabriel,closed
bearology-arcadia,open
berlins-los-angeles,open
berry-brand-tustin,seed
better-be-donuts-moreno-valley,open
bird-pick-tea-and-herb-arcadia,closed
bird-pick-tea-and-herb-pasadena,closed
birdie-bowl-and-juicery-costa-mesa,seed
black-and-white-covina,open
blackball-taiwanese-dessert-rowland-heights,closed
blackball-taiwanese-dessert-san-gabriel,closed
bloomz-tea-westminster,open
boba-ave-8090-san-gabriel,open
boba-ave-express-arcadia,open
boba-ave-monterey-park,open
boba-bar-and-desserts-san-diego,open
boba-bar-og-location-san-diego,open
boba-bear-el-monte,closed
boba-bear-los-angeles,open
boba-bear-rowland-heights,open
boba-cafe-riverside,open
boba-corner-2-westminster,open
boba-corner-rosemead,open
boba-express-moreno-valley,open
boba-express-temple-city,closed
boba-fiend-tea-house-rancho-cucamonga,open
boba-fiend-tea-house-riverside,open
boba-gogo-rowland-heights,open
boba-lab-santa-monica,open
boba-loca-burbank,open
boba-loca-garden-grove,closed
boba-loca-long-beach,closed
boba-loca-los-angeles,temporarily_closed
boba-planet-and-sandwiches-rancho-cucamonga,closed
boba-story-los-angeles,closed
boba-tea-and-me-truck-santa-monica,open
boba-tea-house-long-beach,open
boba-tea-house-riverside,open
boba-tea-lounge-covina,open
boba-tea-zone-pomona,open
boba-time-los-angeles,open
boba-time-walnut,open
boba-v-cafe-walnut,open
bobalicious-san-diego,open
bobaloca-riverside,open
bobana-huntington-park,open
bobee-5-rowland-heights,open
bon-bon-tea-house-los-angeles,open
bubble-boba-santa-monica,open
bubble-republic-san-gabriel,closed
bubble-u-los-angeles,temporarily_closed
byob-a-boba-company-covina,open
cafe-86-pasadena,closed
cafe-bing-fullerton,closed
cafe-gossip-moreno-valley,open
cafe-haus-diamond-bar,closed
cafe-home-los-angeles,open
cafe-hue-san-diego,open
cafe-latte-los-angeles,closed
camellia-rd-tea-bar-san-diego,open
cantaloop-hollywood,open
cantaloop-los-angeles,open
cha-bei-bei-tea-house-rosemead,open
cha-cafe-el-monte,open
cha-for-tea-irvine,open
cha-for-tea-long-beach,open
cha-for-tea-pomona,open
cha2o-cerritos,closed
cha2o-covina,open
cha2o-fullerton,open
cha2o-riverside,open
champion-food-irvine,closed
chatime-arcadia,closed
chatime-mission-viejo,closed
chicha-san-chen-san-gabriel,seed
chill-zone-temecula,open
class-302-cerritos,open
class-302-irvine,open
class-302-santa-ana,open
coco-fresh-tea-and-juice-arcadia,closed
coco-fresh-tea-and-juice-los-angeles,closed
coco-fresh-tea-and-juice-monterey-park,closed
crave-garden-grove,open
craved-tea-house-fountain-valley,temporarily_closed
dingle-berries-coffee-and-tea-rosemead,closed
dingtea-bolsa-westminster,open
dolphin-bay-artesia,open
dragonfly-tea-bar-orange,open
dragonfly-tea-bar-rowland-heights,open
e-boba-irvine,closed
factory-tea-bar-covina,closed
factory-tea-bar-san-gabriel,temporarily_closed
formosa-boba-men-los-angeles,open
formosa-tea-time-anaheim,closed
four-leaf-los-angeles,closed
fresh-roast-san-gabriel,open
freshia-tea-time-walnut,closed
fusion-tea-bar-cerritos,closed
got-boba-monterey-park,open
gotcha-cafe-garden-grove,closed
guiltea-cravings-san-diego,open
guppy-teahouse-cerritos,closed
h2snow-orange,open
half-and-half-good-old-time-san-gabriel,open
half-and-half-tea-express-arcadia,open
half-and-half-tea-express-monterey-park,open
half-and-half-tea-express-pasadena,open
half-and-half-tea-express-rowland-heights,open
half-and-half-tea-house-san-gabriel,open
harmony-tea-bar-mission-viejo,open
harts-cafe-hollywood,closed
hashtag-coffee-and-tea-los-angeles,open
health-station-diamond-bar,open
hiccups-long-beach,open
hola-coffee-and-boba-huntington-park,open
hollywood-rock-cafe-hollywood,open
home-brewed-bar-pasadena,open
honeybees-long-beach,open
honeyberry-irvine,closed
honeyboba-arcadia,closed
honeyboba-los-angeles,open
honeyboba-monterey-park,closed
honeyboba-rosemead,closed
honeymee-rowland-heights,closed
house-of-boba-los-angeles,open
i-heart-boba-rowland-heights,closed
i-love-boba-los-angeles,open
i-love-sweetea-los-angeles,closed
i-tea-cafe-irvine,temporarily_closed
ice-bomb-fullerton,open
ice-box-san-diego,closed
id-cha-house-san-gabriel,closed
infini-tea-san-diego,closed
itea-yorba-linda,closed
its-boba-time-artesia,open
its-boba-time-hollywood,open
its-boba-time-los-angeles,open
its-boba-time-san-diego,open
its-boba-time-tustin,open
jin-tea-shop-pasadena,open
jin-teahouse-covina,open
juice-bar-temecula,open
kape-republik-cerritos,closed
kukui-hut-cafe-los-angeles,closed
kung-fu-tea-fullerton,open
kung-fu-tea-san-diego,open
kung-fu-tea-westminster,open
labobatory-san-gabriel,open
lantern-grill-santa-ana,open
le-arbre-tea-house-rosemead,closed
leaf-n-cream-tustin,open
little-bean-rowland-heights,closed
lollicup-artesia,open
lollicup-covina,open
lollicup-diamond-bar,open
lollicup-fresh-riverside,open
lollicup-fresh-rowland-heights,open
lollicup-irvine,closed
lollicup-los-angeles,open
lollicup-tea-zone-san-diego,open
lollicup-walnut,closed
lollicup-westminster,open
mana-tea-house-el-monte,closed
meet-fresh-irvine,seed
meet-fresh-temple-city,open
mi-tea-express-san-diego,closed
midastee-tea-house-brea,closed
milk-and-honey-san-gabriel,open
milk-bar-fountain-valley,open
